60,0,0.6
60,0.6,1.2
67,1.2,1.8
67,1.8,2.4
69,2.4,3
69,3,3.6
67,3.6,4.8
65,4.8,5.4
65,5.4,6
64,6,6.6
64,6.6,7.2
62,7.2,7.8
62,7.8,8.4
60,8.4,9.6
67,9.6,10.2
67,10.2,10.8
65,10.8,11.4
65,11.4,12
64,12,12.6
64,12.6,13.2
62,13.2,14.4
67,14.4,15
67,15,15.6
65,15.6,16.2
65,16.2,16.8
64,16.8,17.4
64,17.4,18
62,18,19.2
60,19.2,19.8
60,19.8,20.4
67,20.4,21
67,21,21.6
69,21.6,22.2
69,22.2,22.8
67,22.8,24
65,24,24.6
65,24.6,25.2
64,25.2,25.8
64,25.8,26.4
62,26.4,27
62,27,27.6
60,27.6,28.8
