60,0,0.337890625
60,0.375,0.48828125
62,0.5,0.951171875
60,1,1.451171875
65,1.5,1.951171875
64,2,2.90234375
60,3,3.337890625
60,3.375,3.48828125
62,3.5,3.951171875
60,4,4.451171875
67,4.5,4.951171875
65,5,5.90234375
60,6,6.337890625
60,6.375,6.48828125
72,6.5,6.951171875
69,7,7.451171875
65,7.5,7.951171875
64,8,8.451171875
62,8.5,9.357421875
70,9.416015625,9.821484375
70,10.0875,10.395703125
69,10.409765625,10.951171875
65,11.009765625,11.551171875
67,11.609765625,12.151171875
65,12.209765625,13.892578125
